GrLivArea,GarageArea,OverallQual,TotalBsmtSF,YearBuilt
767,367,7,723,1998
1496,426,7,654,2006
1567,648,8,1520,2006
1148,308,5,980,1952
1970,753,8,1085,2006
2810,750,8,1453,1990
2630,696,8,1470,1998
2274,480,5,1105,1960
1261,433,6,1261,1958
1486,480,5,1486,1964
773,240,5,773,1953
1537,462,6,1319,1962
1779,546,7,866,1998
1225,0,4,950,1959
848,420,6,848,2003
1376,198,6,780,1937
1471,440,6,729,1999
869,0,4,440,1923
1458,440,6,729,1999
894,440,5,864,1974
1718,427,7,832,1998
1701,611,5,1390,1975
864,576,4,864,1972
1855,512,6,528,1976
1651,616,6,1606,1986
1224,528,6,612,2009
928,288,5,928,1957
1092,0,4,0,1930
1641,546,7,728,1925
1416,776,6,708,1968
1904,736,8,1058,2005
936,308,5,936,1956
1556,452,6,716,1980
864,400,4,864,1951
1654,900,7,1654,2002
1416,576,5,816,1918
2365,856,8,1252,1999
1067,436,4,1067,1950
1902,539,6,0,1978
1557,420,7,1374,2003
1839,486,7,1195,1998
