GrLivArea,KitchenQual,OverallQual,TotalBsmtSF,YearBuilt
1505,TA,6,1505,1953
1647,Gd,5,1430,1977
1132,Gd,4,1132,2005
1764,Gd,6,928,1997
1529,TA,4,0,1945
2447,Gd,6,804,1919
1504,Gd,7,1346,2005
1163,TA,3,1162,1955
1525,Gd,6,756,2000
935,TA,5,935,1965
813,Gd,6,813,1930
2008,Ex,5,896,1948
2329,Gd,7,1475,1990
1558,TA,5,910,1950
1664,TA,7,832,1976
2110,Ex,7,2110,1968
1786,Gd,6,824,1997
1475,TA,5,757,1977
1387,Gd,5,811,1954
1708,Gd,7,976,2004
1734,Gd,6,912,1962
2414,TA,5,954,1900
1908,Gd,7,915,1994
1283,TA,5,931,1962
1212,Gd,7,1212,2001
1548,Ex,7,952,1925
980,TA,5,980,1967
1811,Ex,6,1073,1956
1056,TA,4,1056,1966
1234,Gd,8,1234,2007
1302,TA,5,630,1970
1406,Fa,6,319,1920
858,TA,5,858,1982
2324,Ex,9,1175,2005
910,Gd,5,105,1953
1611,TA,6,780,1964
1560,Gd,6,684,2005
2020,TA,5,0,1977
1338,Gd,8,1338,2001
1188,TA,5,1188,1962
1459,Gd,7,1459,2002
2260,Gd,7,1306,1996
1430,Gd,7,1413,2001
996,TA,5,996,1940
1092,TA,6,1092,1964
1250,Gd,7,625,2006
1728,Gd,7,864,2004
924,TA,5,924,1975
1199,Gd,6,1199,1993
948,TA,5,948,1968
925,TA,5,925,1965
835,TA,5,458,1920
2466,Gd,8,1580,2004
2157,Gd,7,924,1966
1060,TA,5,1040,1976
2633,Ex,10,2633,2001
1048,TA,5,993,1922
1664,TA,6,953,2000
784,TA,6,784,1928
1279,TA,6,1196,1977
1229,TA,4,1134,1956
1268,TA,5,1268,1954
1428,Gd,7,1428,2007
1125,TA,6,1041,1976
1008,TA,5,1008,1954
1630,Ex,8,1622,2008
1728,Gd,6,864,2003
1211,TA,5,952,1968
1040,TA,5,1040,1959
1707,TA,8,1686,1981
1632,TA,7,935,1998
1392,TA,5,1392,1957
1319,TA,5,608,1953
1484,Gd,6,742,2005
971,TA,5,971,1969
1062,TA,6,1029,1976
980,TA,6,945,1975
1405,Gd,7,1405,2003
1671,TA,6,959,2000
1074,TA,5,1056,1975
2320,TA,5,0,1948
918,TA,6,918,1979
1437,Gd,5,1437,1976
1069,TA,6,1069,1977
1556,TA,6,727,1968
1894,Gd,7,817,2002
1973,Gd,8,1935,2006
2978,Gd,7,710,1967
848,Gd,6,848,2004
1474,TA,7,384,1995
1056,TA,5,1056,1954
902,TA,5,864,1983
1032,TA,6,1032,1978
1077,TA,5,961,1920
1235,TA,5,1235,1961
1442,Gd,7,910,1990
987,TA,6,483,1971
1004,TA,6,975,1977
1006,TA,5,1006,1959
1716,Fa,5,780,1912
1720,Gd,7,860,2004
960,Fa,4,960,1920
1604,Gd,7,1604,2006
2217,Gd,8,2217,1970
1844,Gd,6,1844,1969
1571,TA,6,799,1993
1479,Gd,7,1468,1999
1786,TA,5,1499,1965
1632,TA,6,1240,1958
1768,Gd,8,866,2007
1096,TA,5,1096,1969
2093,TA,7,791,1986
1348,TA,6,660,1966
1456,Gd,7,728,2005
1600,TA,5,1484,1957
1700,Gd,6,1682,2003
1593,TA,6,808,1992
1363,TA,5,1008,1951
1441,TA,6,855,1978
1710,Gd,8,1710,2007
2110,Gd,7,948,1994
1479,Gd,6,725,1976
767,TA,7,723,1998
1496,Gd,7,654,2006
1567,Ex,8,1520,2006
1148,TA,5,980,1952
1970,Ex,8,1085,2006
2810,Gd,8,1453,1990
2630,Gd,8,1470,1998
2274,TA,5,1105,1960
1261,TA,6,1261,1958
1486,TA,5,1486,1964
773,TA,5,773,1953
1537,Gd,6,1319,1962
1779,Gd,7,866,1998
1225,TA,4,950,1959
848,Gd,6,848,2003
1376,TA,6,780,1937
1471,TA,6,729,1999
869,Fa,4,440,1923
1458,TA,6,729,1999
894,TA,5,864,1974
1718,TA,7,832,1998
1701,TA,5,1390,1975
864,TA,4,864,1972
1855,TA,6,528,1976
1651,TA,6,1606,1986
1224,Gd,6,612,2009
928,TA,5,928,1957
1092,Fa,4,0,1930
1641,Ex,7,728,1925
1416,TA,6,708,1968
1904,Ex,8,1058,2005
936,TA,5,936,1956
1556,TA,6,716,1980
864,TA,4,864,1951
1654,Gd,7,1654,2002
1416,Gd,5,816,1918
2365,Gd,8,1252,1999
1067,Gd,4,1067,1950
1902,TA,6,0,1978
1557,Gd,7,1374,2003
1839,TA,7,1195,1998
